signal,peaks,instant_rr,time,Channel_0
75.0,0.0,,0.0,0.0
74.0,0.0,,0.013333333333333334,0.0
74.0,0.0,,0.02666666666666667,0.0
74.0,0.0,,0.04,0.0
74.0,0.0,,0.05333333333333334,0.0
76.0,0.0,,0.06666666666666667,0.0
80.0,0.0,,0.08,0.0
87.0,0.0,,0.09333333333333334,0.0
96.0,0.0,,0.10666666666666667,0.0
107.0,0.0,,0.12,0.0
118.0,0.0,,0.13333333333333333,0.0
128.0,0.0,,0.14666666666666667,0.0
136.0,0.0,,0.16,0.0
142.0,0.0,,0.17333333333333334,0.0
145.0,0.0,,0.18666666666666668,0.0
145.0,0.0,,0.2,0.0
144.0,0.0,,0.21333333333333335,0.0
142.0,0.0,,0.22666666666666666,0.0
139.0,0.0,,0.24,0.0
136.0,0.0,,0.25333333333333335,0.0
133.0,0.0,,0.26666666666666666,0.0
129.0,0.0,,0.28,0.0
125.0,0.0,,0.29333333333333333,0.0
121.0,0.0,,0.30666666666666664,0.0
118.0,0.0,,0.32,0.0
115.0,0.0,,0.3333333333333333,0.0
112.0,0.0,,0.3466666666666667,0.0
111.0,0.0,,0.36,0.0
110.0,0.0,,0.37333333333333335,0.0
109.0,0.0,,0.38666666666666666,0.0
108.0,0.0,,0.4,0.0
107.0,0.0,,0.41333333333333333,0.0
106.0,0.0,,0.4266666666666667,0.0
104.0,0.0,,0.44,0.0
101.0,0.0,,0.4533333333333333,0.0
99.0,0.0,,0.4666666666666667,0.0
96.0,0.0,,0.48,0.0
93.0,0.0,,0.49333333333333335,0.0
91.0,0.0,,0.5066666666666667,0.0
88.0,0.0,,0.52,0.0
86.0,0.0,,0.5333333333333333,0.0
85.0,0.0,,0.5466666666666666,0.0
83.0,0.0,,0.56,0.0
82.0,0.0,,0.5733333333333334,0.0
81.0,0.0,,0.5866666666666667,0.0
80.0,0.0,,0.6,0.0
80.0,0.0,,0.6133333333333333,0.0
79.0,0.0,,0.6266666666666667,0.0
79.0,0.0,,0.64,0.0
78.0,0.0,,0.6533333333333333,0.0
78.0,0.0,,0.6666666666666666,0.0
78.0,0.0,,0.68,0.0
78.0,0.0,,0.6933333333333334,0.0
77.0,0.0,,0.7066666666666667,0.0
77.0,0.0,,0.72,0.0
76.0,0.0,,0.7333333333333333,0.0
76.0,0.0,,0.7466666666666667,0.0
75.0,0.0,,0.76,0.0
75.0,0.0,,0.7733333333333333,0.0
74.0,0.0,,0.7866666666666666,0.0
73.0,0.0,,0.8,0.0
73.0,0.0,,0.8133333333333334,0.0
73.0,0.0,,0.8266666666666667,0.0
74.0,0.0,,0.84,0.0
77.0,0.0,,0.8533333333333334,0.0
82.0,0.0,,0.8666666666666667,0.0
90.0,0.0,,0.88,0.0
100.0,0.0,,0.8933333333333333,0.0
111.0,0.0,,0.9066666666666666,0.0
121.0,0.0,,0.92,0.0
130.0,0.0,,0.9333333333333333,0.0
136.0,0.0,,0.9466666666666667,0.0
139.0,0.0,,0.96,0.0
140.0,0.0,,0.9733333333333334,0.0
139.0,1.0,,0.9866666666666667,0.0
137.0,0.0,,1.0,0.0
135.0,0.0,,1.0133333333333334,0.0
132.0,0.0,,1.0266666666666666,0.0
129.0,0.0,,1.04,0.0
125.0,0.0,,1.0533333333333332,0.0
122.0,0.0,,1.0666666666666667,0.0
118.0,0.0,,1.08,0.0
115.0,0.0,,1.0933333333333333,0.0
111.0,0.0,,1.1066666666666667,0.0
109.0,0.0,,1.12,0.0
107.0,0.0,,1.1333333333333333,0.0
106.0,0.0,,1.1466666666666667,0.0
105.0,0.0,,1.16,0.0
104.0,0.0,,1.1733333333333333,0.0
104.0,0.0,,1.1866666666666668,0.0
102.0,0.0,,1.2,0.0
101.0,0.0,,1.2133333333333334,0.0
99.0,0.0,,1.2266666666666666,0.0
96.0,0.0,,1.24,0.0
94.0,0.0,,1.2533333333333334,0.0
91.0,0.0,,1.2666666666666666,0.0
89.0,0.0,,1.28,0.0
87.0,0.0,,1.2933333333333332,0.0
85.0,0.0,,1.3066666666666666,0.0
84.0,0.0,,1.32,0.0
83.0,0.0,,1.3333333333333333,0.0
82.0,0.0,,1.3466666666666667,0.0
81.0,0.0,,1.36,0.0
80.0,0.0,,1.3733333333333333,0.0
80.0,0.0,,1.3866666666666667,0.0
79.0,0.0,,1.4,0.0
79.0,0.0,,1.4133333333333333,0.0
79.0,0.0,,1.4266666666666667,0.0
79.0,0.0,,1.44,0.0
78.0,0.0,,1.4533333333333334,0.0
78.0,0.0,,1.4666666666666666,0.0
78.0,0.0,,1.48,0.0
78.0,0.0,,1.4933333333333334,0.0
77.0,0.0,,1.5066666666666666,0.0
77.0,0.0,,1.52,0.0
77.0,0.0,,1.5333333333333334,0.0
76.0,0.0,,1.5466666666666666,0.0
76.0,0.0,,1.56,0.0
76.0,0.0,,1.5733333333333333,0.0
75.0,0.0,,1.5866666666666667,0.0
75.0,0.0,,1.6,0.0
74.0,0.0,,1.6133333333333333,0.0
75.0,0.0,,1.6266666666666667,0.0
76.0,0.0,,1.64,0.0
79.0,0.0,,1.6533333333333333,0.0
85.0,0.0,,1.6666666666666667,0.0
93.0,0.0,,1.68,0.0
103.0,0.0,,1.6933333333333334,0.0
115.0,0.0,,1.7066666666666668,0.0
125.0,0.0,,1.72,0.0
134.0,0.0,,1.7333333333333334,0.0
141.0,0.0,,1.7466666666666666,0.0
144.0,0.0,,1.76,0.0
146.0,0.0,,1.7733333333333334,0.0
145.0,1.0,800.0,1.7866666666666666,0.0
144.0,0.0,800.0,1.8,0.0
141.0,0.0,800.0,1.8133333333333332,0.0
139.0,0.0,800.0,1.8266666666666667,0.0
136.0,0.0,800.0,1.84,0.0
133.0,0.0,800.0,1.8533333333333333,0.0
129.0,0.0,800.0,1.8666666666666667,0.0
126.0,0.0,800.0,1.88,0.0
122.0,0.0,800.0,1.8933333333333333,0.0
119.0,0.0,800.0,1.9066666666666667,0.0
116.0,0.0,800.0,1.92,0.0
113.0,0.0,800.0,1.9333333333333333,0.0
112.0,0.0,800.0,1.9466666666666668,0.0
110.0,0.0,800.0,1.96,0.0
109.0,0.0,800.0,1.9733333333333334,0.0
108.0,0.0,800.0,1.9866666666666666,1.0
106.0,0.0,800.0,2.0,0.0
105.0,0.0,800.0,2.013333333333333,0.0
102.0,0.0,800.0,2.026666666666667,0.0
100.0,0.0,800.0,2.04,0.0
98.0,0.0,800.0,2.0533333333333332,0.0
95.0,0.0,800.0,2.066666666666667,0.0
92.0,0.0,800.0,2.08,0.0
90.0,0.0,800.0,2.0933333333333333,0.0
88.0,0.0,800.0,2.1066666666666665,0.0
86.0,0.0,800.0,2.12,0.0
85.0,0.0,800.0,2.1333333333333333,0.0
84.0,0.0,800.0,2.1466666666666665,0.0
83.0,0.0,800.0,2.16,0.0
82.0,0.0,800.0,2.1733333333333333,0.0
82.0,0.0,800.0,2.1866666666666665,0.0
81.0,0.0,800.0,2.2,0.0
81.0,0.0,800.0,2.2133333333333334,0.0
80.0,0.0,800.0,2.2266666666666666,0.0
80.0,0.0,800.0,2.24,2.0
80.0,0.0,800.0,2.2533333333333334,0.0
79.0,0.0,800.0,2.2666666666666666,0.0
79.0,0.0,800.0,2.28,0.0
79.0,0.0,800.0,2.2933333333333334,0.0
79.0,0.0,800.0,2.3066666666666666,0.0
78.0,0.0,800.0,2.32,0.0
78.0,0.0,800.0,2.3333333333333335,0.0
78.0,0.0,800.0,2.3466666666666667,0.0
77.0,0.0,800.0,2.36,0.0
77.0,0.0,800.0,2.3733333333333335,0.0
77.0,0.0,800.0,2.3866666666666667,0.0
76.0,0.0,800.0,2.4,0.0
76.0,0.0,800.0,2.4133333333333336,0.0
76.0,0.0,800.0,2.4266666666666667,0.0
75.0,0.0,800.0,2.44,0.0
76.0,0.0,800.0,2.453333333333333,0.0
77.0,0.0,800.0,2.466666666666667,0.0
80.0,0.0,800.0,2.48,0.0
86.0,0.0,800.0,2.493333333333333,0.0
94.0,0.0,800.0,2.506666666666667,0.0
104.0,0.0,800.0,2.52,0.0
